city,district,sector,urban_level,market_access_score,competition_index,location_cost_index,business_main_group,business_subgroup,business_age_years,monthly_revenue,monthly_expenses,net_profit_margin,current_assets_value,current_liabilities_value,requested_loan_amount,desired_repayment_period_months,credit_score,existing_loans,repayment_history_score,seasonality_factor,economic_outlook_index,interest_rate_environment,loan_purpose,cash_flow_stability_score,ownership_type,business_stage,business_risk_level,preferred_funding_partner,expected_roi_percentage,predicted_profit_from_loan,total_repayment_amount,net_gain_or_loss
Nyagatare,Rukomo,Rukomo I,Rural,10,7,9,Retail,Food Market,18,2510812,1539599,0.39,9057096,583118,13188158,12,313,5,90,Yes,-0.6,13.0,Expansion,49,Partnership,Declining,Medium,VisionFund,9,1186934.22,14902618.54,-527526.32
Huye,Ngoma,Ngoma Centre,Peri-Urban,7,8,4,Agriculture,Coffee Growing,1,1279312,489438,0.62,5933585,1991486,778042,12,558,3,13,Yes,0.8,13.0,Tech Adoption,88,Cooperative,Mature,High,SACCO,25,194510.5,879187.46,93365.04
Rubavu,Kanama,Kanama Centre,Urban,8,3,9,Services,Internet Cafe,4,1755957,1597880,0.09,4615733,452656,9353390,12,404,4,93,Yes,0.88,14.0,Inventory,89,Cooperative,Growth,Medium,VisionFund,18,1683610.2,10662864.6,374135.6
Huye,Ngoma,Ngoma Centre,Peri-Urban,9,8,3,Agriculture,Agri Supplies,1,1547064,363800,0.76,6905180,791531,12676464,6,476,0,93,Yes,-0.2,13.0,Tech Adoption,55,Partnership,Mature,Low,Bank of Kigali,50,6338232.0,14324404.32,4690291.68
Rubavu,Gisenyi,Rubavu,Urban,10,9,7,Manufacturing,Textile Production,16,631941,296935,0.53,111439,263633,8643096,12,626,2,30,Yes,0.61,13.0,Inventory,72,Partnership,Declining,Low,Equity Bank,36,3111514.56,9766698.48,1987912.08
Huye,Ngoma,Butare,Peri-Urban,9,3,3,Retail,Mini Supermarket,18,2328194,1563241,0.33,9394064,1436583,6591786,12,534,3,64,Yes,-0.29,15.0,Expansion,53,Partnership,Declining,High,SACCO,42,2768550.12,7580553.9,1779782.22
Kigali,Gasabo,Kimironko,Urban,9,4,4,Manufacturing,Furniture Making,17,560432,371259,0.34,3360045,885234,13791668,24,650,3,10,No,-0.51,14.0,Inventory,77,Cooperative,Declining,Low,Bank of Kigali,14,1930833.52,15722501.52,0.0
Huye,Ngoma,Ngoma Centre,Peri-Urban,5,4,6,Manufacturing,Bakery,19,4487863,670359,0.85,1575359,1578257,18163423,24,758,0,91,Yes,-0.97,14.0,Equipment Purchase,24,Sole Proprietorship,Mature,Low,Bank of Kigali,42,7628637.66,20706302.22,5085758.44
Musanze,Busogo,Busogo I,Peri-Urban,9,6,3,Retail,Mini Supermarket,9,3105276,700782,0.77,9498529,723019,19636698,18,755,4,2,Yes,-0.81,12.5,Inventory,46,Cooperative,Growth,High,VisionFund,36,7069211.28,22091285.25,4614624.03
Rubavu,Kanama,Nyundo,Urban,8,9,7,Manufacturing,Metal Works,8,879464,484697,0.45,4327844,1798157,3034608,24,720,3,28,Yes,-0.96,12.5,Expansion,43,Cooperative,Declining,Medium,VisionFund,23,697959.84,3413934.0,318633.84
Nyagatare,Rukomo,Rukomo II,Rural,6,5,8,Automotive,Tire Center,10,1902792,149471,0.92,1662525,492830,4407756,24,541,5,23,Yes,0.63,15.0,Inventory,48,Sole Proprietorship,Growth,Medium,VisionFund,44,1939412.64,5068919.4,1278249.24
Nyagatare,Rukomo,Rukomo II,Rural,9,7,6,Retail,Food Market,3,4754388,3906192,0.18,179999,1106673,17580827,36,771,5,16,Yes,-0.18,15.0,Equipment Purchase,32,Partnership,Early Stage,Low,Bank of Kigali,48,8438796.96,20217951.05,5801672.91
Nyagatare,Karangazi,Karangazi Centre,Rural,4,2,4,Services,Photocopy Center,17,1522405,1409065,0.07,1340671,511147,1004473,24,606,3,35,No,-0.83,15.0,Equipment Purchase,25,Sole Proprietorship,Declining,Low,BRD,47,472102.31,1155143.95,321431.36
Huye,Ngoma,Butare,Peri-Urban,7,8,8,Retail,Electronics Store,10,1200491,758416,0.37,1958567,856057,8222689,6,547,0,45,Yes,0.18,15.0,Expansion,20,Sole Proprietorship,Growth,Low,Equity Bank,31,2549033.59,9456092.35,1315630.24
Musanze,Busogo,Busogo II,Peri-Urban,4,4,6,Retail,Food Market,15,4399055,2324795,0.47,6222877,1650588,8817596,36,599,5,2,No,-0.44,13.0,Inventory,85,Cooperative,Early Stage,Medium,BRD,22,1939871.12,9963883.48,793583.64
Rubavu,Gisenyi,Rubavu,Urban,4,6,8,Agriculture,Pig Farming,3,4993519,1335800,0.73,8877241,849971,8431599,24,450,2,83,No,0.27,13.0,Equipment Purchase,67,Partnership,Early Stage,High,VisionFund,39,3288323.61,9527706.87,2192215.74
Kigali,Gasabo,Remera,Urban,6,6,7,Services,Photocopy Center,20,178659,167746,0.06,1617701,1821420,5789110,24,632,2,42,Yes,0.43,14.0,Expansion,29,Sole Proprietorship,Early Stage,Low,Bank of Kigali,48,2778772.8,6599585.4,1968297.4
Huye,Ngoma,Ngoma Centre,Peri-Urban,7,9,4,Automotive,Car Wash,12,1436795,853226,0.41,1590510,371726,5390341,12,322,2,47,No,0.12,14.0,Tech Adoption,80,Cooperative,Early Stage,Low,Equity Bank,25,1347585.25,6144988.74,592937.51
Musanze,Busogo,Busogo I,Peri-Urban,10,7,8,Services,Salon,2,1603676,716481,0.55,6501388,433013,6626816,12,471,5,3,No,-0.19,13.0,Equipment Purchase,8,Cooperative,Early Stage,Low,BRD,44,2915799.04,7488302.08,2054312.96
Kigali,Nyarugenge,Kimisagara,Urban,6,8,3,Services,Salon,2,3781771,600701,0.84,2141052,859239,2853596,6,527,2,41,Yes,0.86,15.0,Inventory,84,Partnership,Declining,Medium,BRD,19,542183.24,3281635.4,114143.84
Musanze,Busogo,Busogo II,Peri-Urban,5,8,6,Automotive,Spare Parts Shop,12,279455,119588,0.57,258538,509214,4812417,24,306,0,87,Yes,0.86,12.5,Equipment Purchase,93,Partnership,Mature,High,SACCO,31,1491849.27,5413969.12,890297.15
Rubavu,Gisenyi,Rubavu,Urban,10,10,6,Agriculture,Agri Supplies,4,3662900,2259710,0.38,6356738,899832,8975839,18,846,1,85,Yes,-0.61,14.0,Tech Adoption,62,Cooperative,Mature,Medium,Equity Bank,45,4039127.55,10232456.46,2782510.09
Huye,Ngoma,Butare,Peri-Urban,6,3,7,Manufacturing,Textile Production,12,3050150,2127571,0.3,8968694,1463052,13535139,12,629,1,44,No,0.78,14.0,Tech Adoption,73,Partnership,Growth,Medium,BRD,20,2707027.8,15430058.46,812108.34
Rubavu,Gisenyi,Rubavu,Urban,4,6,9,Manufacturing,Soap Making,17,2808087,2544586,0.09,6260260,84293,4168631,18,545,0,91,No,0.51,13.0,Tech Adoption,3,Partnership,Growth,High,SACCO,31,1292275.61,4710553.03,750353.58
Huye,Tumba,Cyarwa,Peri-Urban,4,5,8,Automotive,Motorcycle Repair,12,901027,275922,0.69,7229379,103159,545377,18,329,3,67,No,0.9,13.0,Expansion,74,Partnership,Early Stage,High,SACCO,17,92714.09,616276.01,21815.08
Kigali,Kicukiro,Kicukiro Centre,Urban,9,3,9,Services,Laundry Service,15,1694106,68666,0.96,9671301,939736,10933527,12,485,3,89,No,-0.35,15.0,Tech Adoption,9,Sole Proprietorship,Declining,High,VisionFund,28,3061387.56,12573556.05,1421358.51
Huye,Ngoma,Ngoma Centre,Peri-Urban,8,9,7,Manufacturing,Metal Works,17,4259059,3155246,0.26,9913172,1993854,14588115,24,539,0,40,Yes,-0.25,14.0,Equipment Purchase,58,Partnership,Mature,Low,Bank of Kigali,18,2625860.7,16630451.1,583524.6
Kigali,Nyarugenge,Nyamirambo,Urban,5,8,3,Services,Repair Workshop,0,1042719,119942,0.88,6062511,1603305,14468715,12,434,1,63,Yes,-0.41,13.0,Tech Adoption,77,Sole Proprietorship,Growth,Medium,BRD,15,2170307.25,16349647.95,289374.3
Nyagatare,Rukomo,Rukomo II,Rural,10,1,8,Agriculture,Coffee Growing,5,1562012,694986,0.56,8563197,651281,8289976,18,417,3,47,No,-0.03,13.0,Expansion,11,Partnership,Growth,Low,Bank of Kigali,17,1409295.92,9367672.88,331599.04
Kigali,Nyarugenge,Nyamirambo,Urban,8,8,6,Agriculture,Pig Farming,17,475069,170856,0.64,2227176,175950,4052520,12,702,2,91,Yes,0.4,12.5,Expansion,91,Partnership,Early Stage,Medium,VisionFund,21,851029.2,4559085.0,344464.2
Kigali,Gasabo,Kimironko,Urban,5,8,4,Agriculture,Maize Farming,13,786459,99502,0.87,2298268,1171340,17917758,18,656,0,7,Yes,0.15,13.0,Expansion,26,Sole Proprietorship,Declining,Low,Equity Bank,9,1612598.22,20247066.54,-716710.32
Nyagatare,Rukomo,Rukomo II,Rural,10,9,5,Automotive,Motorcycle Repair,5,2808945,2402469,0.14,8286523,57677,5891082,18,354,3,48,No,-0.81,12.5,Expansion,58,Sole Proprietorship,Early Stage,Medium,VisionFund,31,1826235.42,6627467.25,1089850.17
Huye,Ngoma,Ngoma Centre,Peri-Urban,4,9,8,Automotive,Car Wash,0,4475456,388682,0.91,4828825,1061073,12165741,12,535,1,78,No,0.7,15.0,Equipment Purchase,14,Sole Proprietorship,Mature,High,SACCO,7,851601.87,13990602.15,-973259.28
Musanze,Busogo,Busogo I,Peri-Urban,4,8,3,Retail,Electronics Store,5,4427292,3891545,0.12,3189095,692143,17560251,12,659,3,58,No,-0.84,14.0,Inventory,87,Sole Proprietorship,Declining,High,VisionFund,8,1404820.08,20018686.14,-1053615.06
Nyagatare,Rukomo,Rukomo I,Rural,5,3,7,Automotive,Garage Services,10,347925,122191,0.65,2065554,1425479,7146579,18,388,4,43,No,-0.71,15.0,Inventory,19,Cooperative,Early Stage,Low,BRD,7,500260.53,8218565.85,-571726.32
Rubavu,Gisenyi,Rubavu,Urban,6,3,5,Manufacturing,Furniture Making,9,4675435,2913417,0.38,8555307,1470152,13926054,12,763,3,31,No,-0.56,13.0,Tech Adoption,88,Cooperative,Mature,Low,Bank of Kigali,14,1949647.56,15736441.02,139260.54
Nyagatare,Karangazi,Karangazi Centre,Rural,6,8,7,Services,Laundry Service,8,3113515,2208736,0.29,1969447,1486044,19205093,6,503,1,47,No,-0.1,14.0,Equipment Purchase,0,Sole Proprietorship,Mature,Low,Equity Bank,30,5761527.9,21893806.02,3072814.88
Kigali,Nyarugenge,Kimisagara,Urban,8,8,5,Services,Repair Workshop,0,1147990,586100,0.49,2243975,910872,11303339,12,790,1,97,Yes,-0.04,15.0,Expansion,79,Cooperative,Declining,High,SACCO,20,2260667.8,12998839.85,565166.95
Huye,Ngoma,Butare,Peri-Urban,7,2,4,Retail,Beans Shop,18,2445441,1033396,0.58,1958331,1339853,989670,18,704,0,13,No,-0.86,12.5,Tech Adoption,93,Sole Proprietorship,Early Stage,Low,Bank of Kigali,46,455248.2,1113378.75,331539.45
Nyagatare,Karangazi,Karangazi Centre,Rural,10,7,4,Services,Repair Workshop,12,3505626,1891560,0.46,1387528,935669,6611856,36,342,4,78,Yes,0.55,14.0,Expansion,88,Sole Proprietorship,Growth,High,VisionFund,12,793422.72,7537515.84,-132237.12
Kigali,Nyarugenge,Nyamirambo,Urban,10,8,7,Retail,Beans Shop,15,157226,141171,0.1,1639612,229071,12819494,18,687,2,13,No,0.02,13.0,Equipment Purchase,21,Sole Proprietorship,Declining,Low,BRD,36,4615017.84,14486028.22,2948483.62
Nyagatare,Rukomo,Rukomo II,Rural,5,7,5,Services,Photocopy Center,20,4700264,973441,0.79,1825017,566732,15514559,18,462,2,74,No,0.98,14.0,Expansion,48,Cooperative,Declining,Low,Bank of Kigali,46,7136697.14,17686597.26,4964658.88
Musanze,Muhoza,Ruhengeri,Peri-Urban,10,2,8,Retail,Beans Shop,6,2153380,1634138,0.24,7112426,833003,5362823,12,604,5,24,Yes,-0.41,15.0,Tech Adoption,20,Cooperative,Mature,Low,BRD,36,1930616.28,6167246.45,1126192.83
Nyagatare,Karangazi,Karangazi Centre,Rural,5,10,4,Retail,Clothing Shop,7,3055683,2728714,0.11,3803081,1531556,4317410,24,342,1,24,Yes,0.04,14.0,Equipment Purchase,31,Partnership,Growth,Low,BRD,38,1640615.8,4921847.4,1036178.4
Rubavu,Gisenyi,Rubavu,Urban,5,4,4,Manufacturing,Metal Works,2,3433626,493432,0.86,5079949,1769008,17480715,36,767,0,74,Yes,-0.97,14.0,Inventory,14,Partnership,Early Stage,Low,Equity Bank,41,7167093.15,19928015.1,4719793.05
Musanze,Busogo,Busogo I,Peri-Urban,7,4,3,Automotive,Garage Services,18,4132095,681214,0.84,581636,1910861,19878990,6,739,1,100,Yes,0.36,14.0,Expansion,31,Partnership,Declining,High,SACCO,36,7156436.4,22662048.6,4373377.8
Huye,Tumba,Cyarwa,Peri-Urban,8,1,3,Agriculture,Pig Farming,11,1983444,1144941,0.42,6821804,1091018,14039330,12,346,4,16,No,0.07,15.0,Expansion,64,Sole Proprietorship,Growth,Low,BRD,46,6458091.8,16145229.5,4352192.3
Rubavu,Gisenyi,Gisenyi Town,Urban,5,6,9,Retail,Clothing Shop,16,3339228,62781,0.98,744160,188647,12055514,18,807,3,45,Yes,0.82,15.0,Inventory,87,Cooperative,Declining,Medium,BRD,25,3013878.5,13863841.1,1205551.4
Kigali,Nyarugenge,Kimisagara,Urban,8,6,9,Automotive,Car Wash,17,1676359,1477587,0.12,7499809,700820,19338703,36,758,4,8,No,-0.02,14.0,Tech Adoption,10,Sole Proprietorship,Mature,High,SACCO,13,2514031.39,22046121.42,-193387.03
Kigali,Nyarugenge,Nyamirambo,Urban,7,9,5,Services,Internet Cafe,8,4265057,282950,0.93,4275065,874516,3362478,6,800,1,66,No,0.6,15.0,Inventory,65,Cooperative,Growth,Low,BRD,23,773369.94,3866849.7,268998.24
Rubavu,Kanama,Nyundo,Urban,7,7,9,Manufacturing,Furniture Making,11,3505293,1755987,0.5,2683669,794794,10602201,12,618,3,92,No,-0.4,15.0,Equipment Purchase,91,Partnership,Declining,High,VisionFund,9,954198.09,12192531.15,-636132.06
Kigali,Gasabo,Kimironko,Urban,7,2,6,Automotive,Spare Parts Shop,1,3389983,386365,0.89,7331870,1558882,14273471,12,793,0,99,Yes,-0.8,15.0,Tech Adoption,19,Sole Proprietorship,Mature,High,VisionFund,37,5281184.27,16414491.65,3140163.62
Huye,Ngoma,Ngoma Centre,Peri-Urban,9,10,6,Services,Internet Cafe,7,2727617,1663059,0.39,7680753,470720,1981046,6,506,0,96,No,-0.51,14.0,Equipment Purchase,35,Partnership,Early Stage,Low,BRD,25,495261.5,2258392.44,217915.06
Kigali,Nyarugenge,Kimisagara,Urban,9,4,5,Automotive,Motorcycle Repair,12,2006319,1208995,0.4,3239589,220663,1229606,18,539,1,56,No,-0.1,14.0,Inventory,28,Partnership,Declining,High,SACCO,46,565618.76,1401750.84,393473.92
Kigali,Kicukiro,Kicukiro Centre,Urban,9,3,9,Manufacturing,Soap Making,20,1334919,375485,0.72,247306,847392,10106457,36,585,1,49,No,0.44,15.0,Tech Adoption,51,Partnership,Growth,Low,Bank of Kigali,31,3133001.67,11622425.55,1617033.12
Nyagatare,Rukomo,Rukomo II,Rural,10,10,5,Manufacturing,Metal Works,7,4633098,2398752,0.48,4966511,339447,19537342,12,726,4,75,Yes,-0.61,13.0,Expansion,24,Cooperative,Early Stage,High,VisionFund,50,9768671.0,22077196.46,7228816.54
Nyagatare,Rukomo,Rukomo I,Rural,10,1,5,Automotive,Tire Center,10,660480,143913,0.78,2187113,1095121,15178762,36,723,0,28,No,-0.16,12.5,Expansion,4,Sole Proprietorship,Mature,Medium,Equity Bank,7,1062513.34,17076107.25,-834831.91
Huye,Tumba,Cyarwa,Peri-Urban,8,4,8,Agriculture,Pig Farming,13,1531381,879369,0.43,3126165,496103,1491829,18,850,3,47,No,0.64,12.5,Inventory,14,Sole Proprietorship,Mature,Medium,VisionFund,40,596731.6,1678307.62,410252.98
Musanze,Muhoza,Ruhengeri,Peri-Urban,10,10,4,Retail,Clothing Shop,20,2013270,1192519,0.41,6545953,930218,16814720,18,595,5,39,No,0.79,14.0,Equipment Purchase,79,Partnership,Early Stage,High,VisionFund,32,5380710.4,19168780.8,3026649.6
Rubavu,Gisenyi,Gisenyi Town,Urban,4,3,9,Retail,Beans Shop,2,2510992,463717,0.82,4354511,882897,19927496,18,621,2,68,Yes,-0.68,12.5,Equipment Purchase,65,Sole Proprietorship,Mature,High,VisionFund,21,4184774.16,22418433.0,1693837.16
Kigali,Gasabo,Kimironko,Urban,5,1,6,Manufacturing,Metal Works,10,4153328,1191511,0.71,7077125,1208819,3738948,6,587,2,40,No,-0.11,14.0,Expansion,1,Sole Proprietorship,Early Stage,Low,Bank of Kigali,49,1832084.52,4262400.72,1308631.8
Rubavu,Kanama,Kanama Centre,Urban,5,4,9,Automotive,Motorcycle Repair,9,3470495,2686880,0.23,7532709,1304157,11868608,6,764,3,14,Yes,0.56,13.0,Expansion,39,Cooperative,Mature,High,SACCO,23,2729779.84,13411527.04,1186860.8
Nyagatare,Karangazi,Rwimiyaga,Rural,10,10,8,Agriculture,Bee Keeping,4,754753,342239,0.55,5814144,644008,12969174,18,465,4,56,Yes,-0.82,12.5,Tech Adoption,0,Partnership,Declining,High,SACCO,28,3631368.72,14590320.75,2010221.97
Kigali,Kicukiro,Kicukiro Centre,Urban,4,6,3,Manufacturing,Soap Making,1,2709026,239713,0.91,8457253,1423672,15706699,18,742,5,15,Yes,-0.32,14.0,Expansion,28,Cooperative,Growth,High,SACCO,16,2513071.84,17905636.86,314133.98
Rubavu,Gisenyi,Rubavu,Urban,9,7,8,Retail,Food Market,9,1713896,617996,0.64,1621434,1457435,17430059,12,619,0,88,Yes,0.53,14.0,Expansion,44,Cooperative,Mature,Low,Equity Bank,34,5926220.06,19870267.26,3486011.8
Rubavu,Kanama,Kanama Centre,Urban,6,8,6,Agriculture,Bee Keeping,20,562317,381635,0.32,9114057,1362429,5395482,12,778,4,10,No,-0.87,15.0,Equipment Purchase,57,Sole Proprietorship,Mature,Medium,BRD,48,2589831.36,6204804.3,1780509.06
Rubavu,Kanama,Nyundo,Urban,4,4,5,Agriculture,Bee Keeping,13,2087800,1214809,0.42,9165470,1616320,18024001,6,639,3,37,Yes,0.22,15.0,Equipment Purchase,55,Sole Proprietorship,Mature,Medium,BRD,31,5587440.31,20727601.15,2883840.16
Rubavu,Gisenyi,Gisenyi Town,Urban,10,3,5,Services,Repair Workshop,6,4591193,3462062,0.25,296397,238400,10404469,24,617,2,50,Yes,-0.95,14.0,Equipment Purchase,61,Partnership,Growth,High,SACCO,32,3329430.08,11861094.66,1872804.42
Musanze,Busogo,Busogo I,Peri-Urban,10,10,6,Agriculture,Pig Farming,15,2301050,1370046,0.4,6022832,661936,14750093,36,424,0,97,Yes,-0.46,15.0,Expansion,23,Partnership,Early Stage,High,VisionFund,48,7080044.64,16962606.95,4867530.69
Huye,Tumba,Cyarwa,Peri-Urban,6,10,9,Retail,Clothing Shop,11,3622545,143952,0.96,4661198,822230,8920048,18,523,3,10,Yes,0.39,15.0,Inventory,25,Partnership,Growth,High,SACCO,20,1784009.6,10258055.2,446002.4
Kigali,Gasabo,Remera,Urban,10,9,8,Services,Salon,15,3312039,2145958,0.35,5080174,990353,2086984,6,789,1,67,No,-0.67,13.0,Inventory,10,Cooperative,Declining,High,VisionFund,35,730444.4,2358291.92,459136.48
Kigali,Gasabo,Kimironko,Urban,6,7,9,Retail,Mini Supermarket,16,4328092,376390,0.91,1637027,283680,12527720,6,507,0,12,Yes,-0.28,14.0,Inventory,64,Partnership,Declining,Low,Equity Bank,27,3382484.4,14281600.8,1628603.6
Huye,Tumba,Tumba Village,Peri-Urban,6,5,9,Agriculture,Pig Farming,8,623758,616797,0.01,3845119,852521,13219851,18,603,4,17,No,0.71,12.5,Inventory,21,Partnership,Early Stage,Medium,VisionFund,10,1321985.1,14872332.38,-330496.28
Rubavu,Kanama,Kanama Centre,Urban,7,10,7,Agriculture,Maize Farming,0,932028,556412,0.4,1469408,660835,5429426,36,832,3,68,No,-0.14,13.0,Equipment Purchase,58,Partnership,Mature,High,SACCO,13,705825.38,6135251.38,0.0
Huye,Tumba,Tumba Village,Peri-Urban,10,9,9,Services,Internet Cafe,6,2294630,1526902,0.33,4301092,1358929,4005364,18,781,1,51,No,-0.5,14.0,Inventory,24,Cooperative,Mature,High,SACCO,15,600804.6,4566114.96,40053.64
Rubavu,Kanama,Nyundo,Urban,5,1,3,Agriculture,Maize Farming,8,3125724,2995496,0.04,9806014,583832,1201700,18,450,4,8,Yes,0.74,13.0,Equipment Purchase,98,Sole Proprietorship,Growth,High,SACCO,17,204289.0,1357921.0,48068.0
Musanze,Muhoza,Muhoza Centre,Peri-Urban,6,5,5,Automotive,Garage Services,14,1552300,639430,0.59,6037819,1976258,2429556,12,422,4,31,No,0.77,14.0,Expansion,6,Sole Proprietorship,Early Stage,Medium,VisionFund,50,1214778.0,2769693.84,874640.16
Nyagatare,Rukomo,Rukomo II,Rural,9,10,9,Agriculture,Bee Keeping,19,595378,547456,0.08,8529156,1420321,5216390,6,521,4,73,Yes,0.34,12.5,Tech Adoption,57,Cooperative,Early Stage,Medium,BRD,11,573802.9,5868438.75,-78245.85
Rubavu,Gisenyi,Gisenyi Town,Urban,7,10,4,Automotive,Car Wash,7,4070160,3788499,0.07,9962405,382564,16203455,24,583,4,96,Yes,0.24,14.0,Expansion,9,Cooperative,Early Stage,Low,BRD,43,6967485.65,18471938.7,4699001.95
Nyagatare,Karangazi,Rwimiyaga,Rural,9,6,6,Manufacturing,Textile Production,2,4235156,4176239,0.01,7591593,662834,4609965,12,637,3,68,Yes,0.57,13.0,Equipment Purchase,54,Partnership,Early Stage,High,SACCO,13,599295.45,5209260.45,-0.0
Nyagatare,Rukomo,Rukomo II,Rural,7,7,9,Manufacturing,Metal Works,1,1252731,430949,0.66,7263512,1996413,8489072,12,483,4,56,Yes,-0.8,13.0,Inventory,28,Sole Proprietorship,Growth,High,VisionFund,24,2037377.28,9592651.36,933797.92
Rubavu,Kanama,Nyundo,Urban,10,3,8,Agriculture,Pig Farming,15,4100099,2698295,0.34,1446170,283707,15360085,18,586,2,95,Yes,0.27,14.0,Inventory,45,Cooperative,Declining,Medium,VisionFund,31,4761626.35,17510496.9,2611214.45
Nyagatare,Karangazi,Rwimiyaga,Rural,6,8,3,Manufacturing,Soap Making,12,1067530,709701,0.34,632803,1615193,1504434,12,594,5,9,Yes,-0.46,12.5,Inventory,22,Cooperative,Early Stage,High,VisionFund,22,330975.48,1692488.25,142921.23
Kigali,Gasabo,Remera,Urban,9,8,9,Retail,Electronics Store,16,1351591,1349736,0.0,1282911,1579565,16871519,24,628,5,74,Yes,-0.06,15.0,Equipment Purchase,32,Sole Proprietorship,Growth,High,SACCO,49,8267044.31,19402246.85,5736316.46
Rubavu,Kanama,Kanama Centre,Urban,6,4,3,Manufacturing,Bakery,18,3153511,2425527,0.23,3759475,1567666,8719476,12,645,3,89,No,-0.12,13.0,Equipment Purchase,77,Partnership,Declining,Low,BRD,37,3226206.12,9853007.88,2092674.24
Huye,Tumba,Cyarwa,Peri-Urban,7,9,4,Agriculture,Agri Supplies,1,771545,170724,0.78,4808271,293144,8809768,18,761,3,11,Yes,-0.7,12.5,Tech Adoption,94,Cooperative,Declining,Medium,BRD,12,1057172.16,9910989.0,-44048.84
Nyagatare,Rukomo,Rukomo I,Rural,8,7,8,Retail,Beans Shop,2,4412248,3492992,0.21,1072743,1166340,8724417,36,549,4,99,No,0.31,14.0,Expansion,1,Partnership,Growth,Low,BRD,32,2791813.44,9945835.38,1570395.06
Nyagatare,Rukomo,Rukomo II,Rural,9,1,4,Services,Laundry Service,0,1582098,532235,0.66,7935428,1837716,931737,12,554,3,47,Yes,-0.75,12.5,Tech Adoption,68,Cooperative,Early Stage,Low,Bank of Kigali,17,158395.29,1048204.12,41928.17
Huye,Ngoma,Butare,Peri-Urban,10,2,8,Automotive,Car Wash,18,3907830,150855,0.96,5657137,1171872,14150394,18,628,2,84,No,0.4,14.0,Expansion,73,Sole Proprietorship,Mature,High,SACCO,6,849023.64,16131449.16,-1132031.52
Rubavu,Gisenyi,Rubavu,Urban,10,1,6,Agriculture,Agri Supplies,15,446385,171358,0.62,4997094,406648,15536703,24,576,2,13,Yes,0.12,12.5,Tech Adoption,96,Sole Proprietorship,Mature,Low,BRD,29,4505643.87,17478790.88,2563555.99
Rubavu,Gisenyi,Gisenyi Town,Urban,7,5,6,Retail,Clothing Shop,12,1452906,902270,0.38,2837696,1629086,7796497,36,847,5,7,No,0.63,14.0,Tech Adoption,45,Sole Proprietorship,Mature,Low,BRD,5,389824.85,8888006.58,-701684.73
Nyagatare,Rukomo,Rukomo I,Rural,7,7,8,Manufacturing,Furniture Making,4,1058472,890726,0.16,2819219,43270,19998758,24,638,1,42,No,0.07,15.0,Tech Adoption,83,Sole Proprietorship,Declining,Low,Equity Bank,5,999937.9,22998571.7,-1999875.8
Nyagatare,Rukomo,Rukomo II,Rural,6,10,8,Retail,Electronics Store,3,3696417,374522,0.9,8348064,1068682,1428808,36,816,1,9,Yes,0.31,14.0,Inventory,39,Partnership,Mature,High,SACCO,44,628675.52,1628841.12,428642.4
Nyagatare,Rukomo,Rukomo II,Rural,6,8,5,Retail,Food Market,9,204468,116088,0.43,4629997,1886810,18601711,36,472,0,59,No,0.72,15.0,Expansion,58,Partnership,Growth,Low,Bank of Kigali,10,1860171.1,21391967.65,-930085.55
Rubavu,Kanama,Nyundo,Urban,4,7,4,Automotive,Car Wash,18,2826715,2014907,0.29,2330192,807863,7075348,36,722,5,60,No,0.58,13.0,Expansion,73,Cooperative,Mature,High,SACCO,14,990548.72,7995143.24,70753.48
Musanze,Muhoza,Muhoza Centre,Peri-Urban,4,3,9,Retail,Mini Supermarket,8,3116632,3094382,0.01,5674284,1319402,18878476,12,692,2,83,Yes,-0.94,13.0,Equipment Purchase,63,Partnership,Mature,Medium,VisionFund,36,6796251.36,21332677.88,4342049.48
Kigali,Nyarugenge,Kimisagara,Urban,8,4,8,Agriculture,Bee Keeping,20,4200714,3499655,0.17,4134010,1950492,1470446,24,617,4,9,No,-0.68,12.5,Expansion,62,Sole Proprietorship,Declining,High,VisionFund,26,382315.96,1654251.75,198510.21
Kigali,Kicukiro,Gatenga,Urban,4,6,5,Agriculture,Coffee Growing,10,183227,108969,0.41,2000579,1574017,4103952,36,553,3,88,No,0.7,14.0,Expansion,90,Cooperative,Declining,High,VisionFund,35,1436383.2,4678505.28,861829.92
Nyagatare,Karangazi,Rwimiyaga,Rural,9,6,6,Manufacturing,Bakery,11,2886203,2238438,0.22,7267212,1917653,1251522,24,334,5,83,Yes,-0.36,12.5,Inventory,31,Sole Proprietorship,Mature,Low,Equity Bank,29,362941.38,1407962.25,206501.13
Nyagatare,Rukomo,Rukomo II,Rural,8,2,9,Agriculture,Coffee Growing,7,3442802,731700,0.79,6051308,1781711,7403223,24,820,2,54,Yes,0.75,15.0,Inventory,6,Sole Proprietorship,Mature,High,SACCO,20,1480644.6,8513706.45,370161.15
Rubavu,Gisenyi,Rubavu,Urban,6,5,4,Manufacturing,Furniture Making,16,3040803,2327515,0.23,6739243,875390,13338789,18,328,0,87,No,0.67,14.0,Equipment Purchase,10,Partnership,Declining,Medium,BRD,49,6536006.61,15206219.46,4668576.15
Nyagatare,Rukomo,Rukomo II,Rural,6,6,4,Manufacturing,Bakery,19,3436306,2207804,0.36,1469943,989166,4970709,36,558,2,96,No,-0.96,14.0,Equipment Purchase,23,Cooperative,Declining,Medium,VisionFund,30,1491212.7,5666608.26,795313.44
